,0.0
gerah,2.2552724
sektor,2.2552724
enggan,2.5563025
anut,2.5563025
lepit,2.5563025
gerak,1.2775489
huruf,2.0791812
kanon,2.2552724
gerai,2.5563025
datar,1.8573325
hingga,2.0791812
liter,2.5563025
kanop,2.2552724
format,2.5563025
wanita,1.3802112
syamal,2.5563025
asosiasi,2.5563025
sengkuap,2.5563025
stanum,2.5563025
mandung,2.5563025
menit,2.5563025
pause,2.5563025
teks,2.5563025
uda,2.2552724
mayangda,2.5563025
sendal,2.5563025
puting,2.5563025
dingklik,2.5563025
aksara,2.5563025
unjung,1.9542425
belanak,2.5563025
peralat,2.5563025
ejam,2.5563025
nabantidae,2.5563025
kawas,2.0791812
kawat,2.0791812
udik,2.5563025
asas,2.0791812
dengar,1.60206
asap,2.0791812
erti,2.5563025
fiskal,2.5563025
emudi,2.5563025
giring,2.5563025
sangkil,2.5563025
prodeo,2.5563025
kawah,2.5563025
garis,1.5149099
teman,1.9542425
pari,2.5563025
ganas,2.5563025
kawan,2.0791812
telpon,2.5563025
halau,2.5563025
nyonya,2.5563025
masan,2.5563025
lahir,1.3521825
bebi,2.5563025
masak,2.5563025
gandum,2.2552724
masam,1.9542425
tiup,1.7781513
yuana,2.0791812
biji,1.7781513
belanda,2.2552724
sabuk,2.5563025
santun,2.0791812
nomor,1.7112044
komersial,2.2552724
sabun,2.2552724
asal,1.7781513
asak,2.2552724
lengkung,1.9542425
daksa,2.5563025
asam,2.5563025
karya,2.0791812
mustahil,2.5563025
sembahyang,2.5563025
mamanda,2.2552724
asad,2.5563025
jalin,2.0791812
ingus,2.5563025
celana,2.0791812
gemuk,2.5563025
neger,1.9542425
pigura,2.5563025
puruk,2.5563025
enjin,2.5563025
takwim,2.5563025
tentara,1.7781513
cuat,2.2552724
dek,1.8573325
upaya,2.2552724
impin,2.5563025
den,2.5563025
hiruk,2.5563025
latar,2.5563025
hebat,1.8573325
utama,1.7781513
tongkat,1.9542425
khatulistiwa,1.9542425
pati,1.9542425
trik,2.5563025
tahi,2.2552724
hidang,2.2552724
tepi,1.8573325
kacung,2.5563025
loyar,2.5563025
sofa,2.2552724
iris,2.5563025
abah,2.5563025
inap,2.0791812
festival,2.5563025
pasu,1.7112044
lacak,2.5563025
marah,2.2552724
abad,2.2552724
bili,2.5563025
kulzum,2.5563025
pancur,2.5563025
wayang,2.2552724
jendul,2.2552724
firma,2.2552724
beda,1.6532125
patuh,2.2552724
sembah,2.5563025
warita,2.5563025
paldu,2.2552724
napas,2.2552724
lquran,2.2552724
dosa,2.5563025
domain,2.0791812
ladang,2.2552724
irim,2.5563025
hiasi,1.9542425
kamera,2.5563025
abar,2.5563025
organ,1.7781513
jagat,2.2552724
mega,1.7112044
kodrat,2.2552724
egang,2.0791812
lebur,2.5563025
indu,2.2552724
serta,1.6532125
cucu,2.0791812
abdi,1.8573325
hot,2.5563025
aset,2.5563025
sasak,1.9542425
caplok,2.2552724
pawa,2.5563025
kompetensi,2.5563025
celah,2.5563025
sasar,1.9542425
hotel,2.0791812
aurum,2.0791812
palak,2.2552724
pinnata,2.5563025
pikir,1.7781513
benak,2.5563025
berhim,2.2552724
benam,2.2552724
asyik,2.5563025
suaminda,2.5563025
benar,2.2552724
pistol,2.5563025
tilai,2.5563025
bini,2.2552724
etiket,2.0791812
gabung,1.9542425
sanyi,2.5563025
ilusi,2.5563025
rahan,2.2552724
pronomina,2.5563025
tubir,2.5563025
tentang,2.5563025
anggil,2.5563025
cuci,2.2552724
tuntun,2.0791812
aseh,2.5563025
inci,2.5563025
sirih,2.5563025
utang,2.5563025
jentera,2.0791812
galang,2.0791812
rahib,2.5563025
umah,2.5563025
dim,2.5563025
sirat,2.5563025
gawang,2.5563025
sirap,2.2552724
paya,2.0791812
kukuh,2.5563025
himpun,2.5563025
biri,2.2552724
baba,2.5563025
senggang,2.2552724
beras,1.9542425
semangat,2.0791812
titik,1.60206
marga,2.5563025
berat,1.5563025
gulung,2.5563025
hijau,1.8573325
bira,2.5563025
tipar,2.5563025
gumpal,1.5563025
ujung,1.4101745
rubah,2.5563025
radius,2.5563025
tali,1.7112044
rintik,2.5563025
segmen,2.5563025
eluar,2.5563025
titit,2.0791812
emosi,2.2552724
cepat,2.0791812
kamus,0.69297963
aneka,1.9542425
planet,2.2552724
mualim,2.5563025
dedengkot,2.5563025
henti,1.8573325
pendek,1.8573325
taka,2.5563025
cuek,2.2552724
fungsionaris,2.5563025
istana,1.9542425
jangkit,2.5563025
dengki,2.5563025
petang,2.5563025
komposisi,1.9542425
bulik,2.5563025
akhlak,2.0791812
beku,2.0791812
entu,2.0791812
soma,2.5563025
rusak,2.0791812
lunak,1.8573325
seperangkat,2.2552724
kalimat,2.2552724
wacana,1.9542425
santa,2.5563025
ambil,1.7781513
akomodasi,2.0791812
bada,2.2552724
tembereng,2.5563025
ananda,2.0791812
suluh,2.5563025
bela,2.2552724
cahan,1.7781513
hasil,0.51097953
patut,1.8573325
orgel,2.5563025
lunas,2.2552724
sangkak,2.5563025
ikhwan,2.0791812
umba,2.5563025
latih,2.0791812
tamu,2.5563025
biru,2.2552724
pantul,2.2552724
setagen,2.5563025
una,0.69897
umbi,2.5563025
undang,2.2552724
kutip,2.5563025
babe,2.5563025
killed,2.5563025
tangan,1.0939045
bapang,2.5563025
baca,1.6532125
kutil,2.2552724
semprong,2.5563025
pantun,2.0791812
bulir,2.5563025
asin,2.2552724
bisa,2.2552724
harmonium,2.5563025
meja,1.60206
babu,2.5563025
umat,2.5563025
konon,2.5563025
asli,1.9542425
mimik,2.2552724
ritme,2.5563025
klasik,2.2552724
frigid,2.2552724
ceceh,2.0791812
raden,2.5563025
ganggu,2.2552724
embun,2.0791812
lapar,2.0791812
madu,2.5563025
teliti,2.5563025
hadiah,2.5563025
embus,2.2552724
karat,2.2552724
klerikus,2.5563025
karas,2.5563025
tukar,1.9542425
kimah,2.5563025
abses,2.5563025
revolver,2.5563025
abir,2.5563025
efek,2.5563025
tapa,2.2552724
belenting,2.5563025
manah,2.5563025
enun,2.5563025
beli,1.5563025
hewan,1.7112044
marin,2.5563025
deret,1.8573325
bistik,2.5563025
tenggelam,2.5563025
kriteria,2.5563025
galur,2.5563025
doa,2.5563025
singa,2.5563025
johan,2.5563025
sona,2.5563025
interval,2.5563025
puding,2.0791812
nalan,2.2552724
status,2.2552724
jisim,2.5563025
dol,2.5563025
siang,2.5563025
butun,2.5563025
manusia,1.0791812
derij,2.5563025
dom,2.5563025
bayangkar,2.5563025
cula,2.2552724
pakcik,2.2552724
siplin,2.5563025
belacak,2.5563025
butuh,1.8573325
bagi,1.6532125
mutakhir,2.5563025
catur,2.5563025
jinayah,2.5563025
paham,2.5563025
mak,1.7781513
amben,2.5563025
hidrogen,1.8573325
man,2.2552724
taman,2.0791812
meni,2.2552724
teluk,2.5563025
rinding,2.5563025
ura,2.5563025
cuka,1.9542425
pandai,2.0791812
jaksi,2.5563025
dpt,2.0791812
palka,2.5563025
muslihat,2.5563025
telur,2.5563025
klise,2.5563025
batang,1.2138798
berak,2.5563025
mandi,2.2552724
angkin,2.5563025
bungkus,1.8573325
iara,2.5563025
zarah,2.2552724
anggap,1.5149099
aluminium,2.2552724
lodi,2.5563025
rampok,2.5563025
anggal,2.5563025
pandan,2.5563025
tambo,2.5563025
wakil,1.8573325
usa,2.5563025
opera,2.5563025
bait,2.2552724
ruan,2.5563025
pelihara,1.8573325
griya,2.2552724
ruap,2.5563025
jabang,2.5563025
main,1.6532125
sinar,1.7781513
jantung,1.7781513
mair,2.2552724
baik,2.0791812
tadir,2.5563025
tipis,1.4771212
elihara,1.6532125
beri,2.0791812
telinga,1.7781513
tilam,2.2552724
luang,1.9542425
karet,1.6532125
fatamorgana,2.5563025
gagahberani,2.5563025
istiwa,1.9542425
ruah,2.5563025
pusat,2.0791812
ebas,2.0791812
tungkai,2.5563025
bahu,1.5563025
letak,1.7112044
guam,2.5563025
film,1.9542425
radang,2.2552724
tata,2.0791812
akibat,2.2552724
nyala,2.5563025
merah,1.3802112
jakun,2.5563025
punya,2.2552724
deras,2.2552724
jangkar,2.5563025
cengam,2.2552724
sejarah,2.5563025
sore,2.2552724
kroni,2.2552724
ebat,2.5563025
subtropis,2.5563025
baku,2.5563025
dosis,2.5563025
kidul,2.5563025
orkestra,2.5563025
kosmos,2.5563025
bayangkara,2.5563025
kecepat,2.2552724
lentur,2.0791812
sabda,2.2552724
energ,2.5563025
ambah,2.0791812
gusar,2.2552724
dajal,2.5563025
lampang,2.5563025
bala,1.60206
muham,2.5563025
gelas,2.0791812
beta,2.2552724
maji,2.5563025
lapik,2.5563025
mercu,2.5563025
bandar,2.5563025
baju,1.5149099
karib,2.5563025
jurik,2.5563025
samudera,2.5563025
beru,2.0791812
ambal,2.0791812
mulia,1.7781513
bosan,2.5563025
maju,2.2552724
abon,2.2552724
apartemen,2.5563025
sarhad,2.5563025
baris,1.7112044
dua,1.9542425
pikuk,2.5563025
rehal,2.5563025
akar,2.5563025
bulat,1.4771212
besi,1.60206
nyeri,2.5563025
utara,2.5563025
akal,1.6532125
sandang,1.9542425
angker,2.5563025
realisasi,2.5563025
akam,2.2552724
jemahan,2.2552724
rayon,2.5563025
senang,2.0791812
akai,2.0791812
angkat,1.4101745
tepat,2.5563025
jerambah,2.5563025
serah,1.7112044
tepas,2.5563025
angkap,1.8573325
curi,2.5563025
seram,2.5563025
serap,2.5563025
sintagma,2.5563025
imajinasi,2.5563025
angkara,2.5563025
mukim,2.5563025
sambar,2.5563025
bani,2.0791812
serat,2.2552724
gemas,2.2552724
gemar,2.5563025
bumiputra,2.0791812
temporal,2.5563025
sejenis,2.5563025
tecermin,2.5563025
tengah,2.5563025
paksi,2.0791812
loka,2.5563025
zat,1.5563025
malu,1.8573325
lembayung,2.5563025
miring,2.5563025
kontingen,2.5563025
zaman,1.5563025
mala,2.2552724
puisi,2.2552724
gelumat,2.5563025
sederhana,0.69897
militer,2.0791812
pabrik,2.5563025
selempur,2.2552724
debar,2.5563025
sumbang,2.5563025
internir,2.5563025
jambang,2.5563025
agama,1.60206
rangas,2.5563025
seayah,2.2552724
langit,1.7112044
peroleh,1.8573325
pesta,2.5563025
sastra,1.9542425
abun,2.5563025
ian,2.5563025
buhul,2.5563025
kamar,1.7112044
abuk,1.8573325
bapa,2.5563025
dinding,1.7112044
rapat,2.5563025
jenuh,2.5563025
asuk,1.7781513
slang,2.5563025
pribad,2.0791812
asuh,1.9542425
ingar,2.5563025
seisi,2.5563025
pacal,2.5563025
aktualitas,2.5563025
inti,2.2552724
ingat,1.8573325
samudra,2.0791812
heboh,2.5563025
bangkit,2.2552724
bogem,2.0791812
mani,2.5563025
khas,1.8573325
duduk,1.30103
mang,2.2552724
nagar,2.5563025
bara,2.2552724
sekumpul,2.0791812
tunju,1.9542425
kardus,2.5563025
bongkah,2.0791812
sanak,1.9542425
sejawat,2.2552724
sutra,2.5563025
batasi,1.6532125
arena,2.2552724
mukibat,2.5563025
kalkun,2.5563025
tampil,2.0791812
feses,2.5563025
lindung,1.9542425
reksa,2.5563025
ongkang,2.5563025
lengan,1.4423592
dangkal,2.5563025
balairung,2.5563025
praseko,1.8573325
sulbi,2.5563025
gebeng,2.5563025
buntal,2.5563025
ribut,1.9542425
laken,2.5563025
tekun,2.5563025
sepotong,2.5563025
ide,2.2552724
mintakat,2.2552724
buncak,2.5563025
abut,2.0791812
polos,2.5563025
raton,2.5563025
sobat,2.0791812
kusut,2.5563025
bausastra,2.2552724
busana,1.9542425
fondasi,2.2552724
bidadara,2.5563025
gelimpang,2.5563025
nuran,2.5563025
otot,2.0791812
bata,2.5563025
budaya,2.5563025
nyanyi,2.2552724
serupa,2.5563025
inisial,2.5563025
mandala,2.2552724
rampang,2.5563025
pater,2.5563025
lebih,2.2552724
jeda,2.5563025
ruang,1.2552725
unggas,1.7781513
kristalin,2.5563025
kubur,2.0791812
kering,1.6532125
masa,2.5563025
advokat,2.2552724
tempuh,2.5563025
batara,2.5563025
dewata,2.5563025
gula,2.5563025
berte,2.5563025
jemaah,2.5563025
abulhayat,2.5563025
triko,2.2552724
sinema,2.2552724
citra,2.5563025
kalender,2.5563025
serangga,2.5563025
gubernur,2.0791812
sanda,2.2552724
binara,2.5563025
akil,1.9542425
isah,1.7781513
bioskop,2.2552724
pakus,2.5563025
basa,2.5563025
inisiator,2.5563025
nafkah,1.8573325
gamis,2.2552724
bicara,1.5563025
gamit,2.5563025
isap,1.9542425
turut,2.2552724
jebah,2.5563025
bijaksana,2.5563025
sepuluh,2.2552724
temurun,2.0791812
dewasa,1.60206
turun,1.2775489
olak,1.9542425
babad,2.5563025
kumbang,2.5563025
mari,2.5563025
formula,2.5563025
terbit,2.0791812
basi,2.0791812
compreng,2.5563025
labuh,2.5563025
agam,2.5563025
negatif,2.2552724
umur,2.0791812
gaduh,2.5563025
lambang,1.5563025
cepol,2.5563025
ongga,2.5563025
senap,2.0791812
guna,2.2552724
paklik,2.2552724
igu,2.5563025
bejana,2.5563025
feri,2.5563025
onggo,2.5563025
bludak,2.5563025
tikus,2.5563025
lagam,2.5563025
vak,2.5563025
lagah,2.5563025
kual,2.5563025
iblis,2.5563025
gubuk,2.2552724
topeng,2.5563025
ayang,2.5563025
batu,1.6532125
sembir,2.2552724
kuat,1.3258536
pundi,2.0791812
zamin,2.2552724
empal,2.2552724
kontan,2.5563025
rahang,2.2552724
momong,2.0791812
kontak,2.5563025
baur,1.8573325
mata,1.3802112
kandang,2.0791812
mampu,1.6532125
olahraga,2.2552724
kiamat,2.5563025
mati,1.7112044
ibas,2.2552724
rantau,2.5563025
bimbing,2.0791812
sosok,2.5563025
ciak,2.2552724
barangkal,2.5563025
rupa,1.9542425
bantu,1.8573325
sekutu,2.0791812
anjar,2.5563025
ijuk,2.5563025
budek,2.5563025
sawah,2.5563025
papan,1.5149099
kuda,1.8573325
impor,2.5563025
buluh,1.8573325
patik,2.2552724
sawat,1.6532125
lenggang,2.2552724
andang,1.7781513
konco,2.2552724
agen,2.2552724
ekah,2.5563025
instruktur,2.2552724
kidal,2.5563025
sendi,2.5563025
bawa,1.6532125
gores,2.5563025
setakat,2.5563025
ruok,2.5563025
acara,1.9542425
rangka,1.8573325
agenda,2.2552724
syarik,2.2552724
manjapada,2.5563025
